CountryName,CountryCode,RegionName,RegionCode,Jurisdiction,Date,C1M_School closing,C1M_Flag,C2M_Workplace closing,C2M_Flag,C3M_Cancel public events,C3M_Flag,C4M_Restrictions on gatherings,C4M_Flag,C5M_Close public transport,C5M_Flag,C6M_Stay at home requirements,C6M_Flag,C7M_Restrictions on internal movement,C7M_Flag,C8EV_International travel controls,E1_Income support,E1_Flag,E2_Debt/contract relief,E3_Fiscal measures,E4_International support,H1_Public information campaigns,H1_Flag,H2_Testing policy,H3_Contact tracing,H4_Emergency investment in healthcare,H5_Investment in vaccines,H6M_Facial Coverings,H6M_Flag,H7_Vaccination policy,H7_Flag,H8M_Protection of elderly people,H8M_Flag,V1_Vaccine Prioritisation (summary),V2A_Vaccine Availability (summary),V2B_Vaccine age eligibility/availability age floor (general population summary),V2C_Vaccine age eligibility/availability age floor (at risk summary),V2D_Medically/ clinically vulnerable (Non-elderly),V2E_Education,V2F_Frontline workers  (non healthcare),V2G_Frontline workers  (healthcare),V3_Vaccine Financial Support (summary),V4_Mandatory Vaccination (summary),ConfirmedCases,ConfirmedDeaths,MajorityVaccinated,PopulationVaccinated,StringencyIndex_Average,GovernmentResponseIndex_Average,ContainmentHealthIndex_Average,EconomicSupportIndex
Aruba,ABW,,,NAT_TOTAL,20221231,0,,1,1,1,1,2,1,0,,0,,0,,0,0,,0,,,2,1,1,1,,0,2,1,5,1,0,,2,3,5-15 yrs,5-15 yrs,2,2,2,2,5,0,43752,280,V,78.89,25.93,29.17,33.33,0
Afghanistan,AFG,,,NAT_TOTAL,20221231,0,,0,,0,,0,,0,,0,,0,,0,0,,0,,,0,,1,0,,0,0,,5,1,0,,2,2,16-19 yrs,16-19 yrs,2,2,2,2,5,0,207559,7849,NV,26.15,0,8.33,9.52,0
Angola,AGO,,,NAT_TOTAL,20221231,0,,2,1,0,,0,,0,,0,,0,,1,1,1,0,,,1,1,1,1,,0,2,1,5,1,0,,2,3,5-15 yrs,5-15 yrs,2,2,2,2,5,1,105095,1930,NV,23.19,17.02,27.28,27.6,25
Albania,ALB,,,NAT_TOTAL,20221231,0,,0,,0,,0,,0,,0,,0,,0,0,,0,,,2,1,1,0,,0,2,1,5,1,0,,2,3,5-15 yrs,5-15 yrs,2,2,2,2,5,1,333806,3595,NV,44.68,11.11,17.71,20.24,0
Andorra,AND,,,NAT_TOTAL,20221231,0,,0,,0,,0,,0,,0,,0,,0,0,,0,,,2,1,3,1,,0,2,1,5,1,2,1,2,3,5-15 yrs,5-15 yrs,2,2,2,2,5,0,47751,165,V,66.99,11.11,29.17,33.33,0
United Arab Emirates,ARE,,,NAT_TOTAL,20221231,0,,0,,0,,0,,0,,0,,0,,1,0,,0,,,2,1,3,0,,0,2,1,5,1,1,1,2,3,5-15 yrs,5-15 yrs,2,2,2,2,5,0,1047008,2348,V,103.72,13.89,25.52,29.17,0
Argentina,ARG,,,NAT_TOTAL,20221231,0,,0,,0,,0,,0,,0,,0,,0,0,,0,,,2,1,3,1,,0,1,1,5,1,0,,2,3,0-4 yrs,0-4 yrs,2,2,2,2,5,0,9891139,130124,V,76.47,14.38,26.26,30.01,0
Australia,AUS,,,NAT_TOTAL,20221231,0,,0,,0,,0,,0,,0,,0,,0,0,,0,,,2,1,2,0,,0,0,,5,1,1,0,2,3,5-15 yrs,5-15 yrs,2,2,2,2,5,1,11131707,17052,V,82.7,11.11,17.71,20.24,0
Austria,AUT,,,NAT_TOTAL,20221231,2,0,2,1,1,1,2,1,0,,0,,0,,0,2,1,2,,,2,1,3,2,,0,2,1,5,1,3,1,2,3,5-15 yrs,5-15 yrs,2,2,2,2,5,0,5705093,21443,V,74.73,35.19,60.42,54.76,100
Azerbaijan,AZE,,,NAT_TOTAL,20221231,2,1,2,1,2,1,0,,0,,0,,0,,3,0,,0,,,2,1,3,0,,0,0,,5,1,0,,2,2,16-19 yrs,16-19 yrs,2,2,2,2,5,1,826401,10008,NV,46.94,34.94,32.15,36.75,0
Burundi,BDI,,,NAT_TOTAL,20221231,0,,0,,1,1,0,,0,,0,,0,,1,0,,0,,,2,1,2,1,,0,3,1,5,1,0,,2,2,16-19 yrs,16-19 yrs,2,2,2,2,5,0,51722,38,NV,0.22,19.44,29.17,33.33,0
Belgium,BEL,,,NAT_TOTAL,20221231,0,,0,,0,,0,,0,,0,,0,,0,0,,0,,,2,1,3,2,,0,2,1,5,1,2,1,2,3,5-15 yrs,5-15 yrs,2,2,2,2,5,0,4668248,33228,V,78.65,11.11,32.29,36.9,0
Benin,BEN,,,NAT_TOTAL,20221231,0,,0,,0,,0,,0,,0,,0,,0,0,,0,,,2,1,2,0,,0,2,1,5,1,0,,2,3,5-15 yrs,5-15 yrs,2,2,2,2,5,1,27982,163,NV,20.54,11.11,19.79,22.62,0
Burkina Faso,BFA,,,NAT_TOTAL,20221231,0,,0,,0,,0,,0,,0,,0,,1,0,,0,,,1,1,3,0,,0,3,1,5,1,0,,2,2,16-19 yrs,16-19 yrs,2,2,2,2,5,0,22006,395,NV,14.71,8.33,21.88,25,0
Bangladesh,BGD,,,NAT_TOTAL,20221231,0,,0,,0,,0,,0,,0,,0,,1,0,,0,,,2,1,2,2,,0,4,1,5,1,0,,2,3,5-15 yrs,5-15 yrs,2,2,2,2,5,1,2037125,29440,V,73.41,13.89,30.73,35.12,0
Bulgaria,BGR,,,NAT_TOTAL,20221231,0,,0,,0,,0,,0,,0,,0,,0,0,,0,,,2,1,3,0,,0,0,,5,1,0,,2,3,5-15 yrs,5-15 yrs,2,2,2,2,5,0,1292104,38108,NV,30.59,11.11,18.75,21.43,0
Bahrain,BHR,,,NAT_TOTAL,20221231,0,,0,,0,,0,,0,,0,,0,,0,0,,0,,,2,1,3,1,,,2,1,5,1,0,,2,3,0-4 yrs,0-4 yrs,2,2,2,2,5,0,698737,1539,V,83.33,11.11,25,28.57,0
Bahamas,BHS,,,NAT_TOTAL,20221231,1,1,0,,0,,0,,1,1,0,,0,,0,0,,0,,,2,1,1,2,,0,2,1,5,1,0,,2,3,5-15 yrs,5-15 yrs,2,2,2,2,5,0,37491,833,NV,40.4,20.37,29.17,33.33,0
Bosnia and Herzegovina,BIH,,,NAT_TOTAL,20221231,1,1,0,,1,1,2,1,0,,0,,0,,0,0,,0,,,2,1,3,0,,0,2,1,5,1,1,1,2,3,5-15 yrs,5-15 yrs,2,2,2,2,5,0,400992,16227,NV,26.17,25.93,32.29,36.9,0
Belarus,BLR,,,NAT_TOTAL,20221231,0,,0,,0,,0,,0,,0,,0,,0,0,,0,,,0,,3,0,,0,0,,5,1,0,,2,3,5-15 yrs,5-15 yrs,2,2,2,2,5,0,994037,7118,V,66.42,0,12.5,14.29,0
Belize,BLZ,,,NAT_TOTAL,20221231,0,,0,,0,,0,,0,,0,,0,,0,0,,0,,,2,1,3,1,,0,0,,5,1,0,,2,3,5-15 yrs,5-15 yrs,2,2,2,2,5,0,69946,688,V,54.59,11.11,21.88,25,0
Bermuda,BMU,,,NAT_TOTAL,20221231,0,,0,,0,,0,,0,,0,,0,,0,0,,0,,,2,1,2,1,,0,2,1,5,1,1,1,2,3,5-15 yrs,5-15 yrs,2,2,2,2,5,0,18622,153,V,74.22,11.11,25,28.57,0
Bolivia,BOL,,,NAT_TOTAL,20221231,1,1,1,1,1,0,0,,0,,0,,0,,1,0,,0,,,2,1,3,2,,0,2,1,5,1,0,,2,3,5-15 yrs,5-15 yrs,2,2,2,2,5,0,1161018,22299,V,50.4,24.07,35.42,40.48,0
Brazil,BRA,,,NAT_TOTAL,20221231,0,,0,,0,,0,,0,,0,,2,0,1,0,,0,,,2,1,3,0,,0,2,0,5,1,0,,2,3,0-4 yrs,0-4 yrs,2,2,2,2,5,0,36331281,693853,V,81.22,22.22,27.34,31.25,0
Barbados,BRB,,,NAT_TOTAL,20221231,0,,0,,0,,0,,0,,0,,0,,0,0,,0,,,2,1,3,1,,0,2,1,5,1,1,1,2,3,5-15 yrs,5-15 yrs,2,2,2,2,5,0,105515,568,V,55.03,11.11,27.08,30.95,0
Brunei,BRN,,,NAT_TOTAL,20221231,0,,0,,0,,0,,0,,0,,0,,0,0,,0,,,2,1,3,2,,0,2,1,5,1,1,1,2,3,5-15 yrs,5-15 yrs,2,2,2,2,5,0,266819,225,V,99.32,11.11,30.21,34.52,0
Bhutan,BTN,,,NAT_TOTAL,20221231,0,,0,,0,,0,,0,,0,,0,,0,0,,0,,,1,1,1,0,,0,1,1,5,1,0,,2,3,5-15 yrs,5-15 yrs,2,2,2,2,5,0,62524,21,V,86.61,5.56,13.02,14.88,0
Botswana,BWA,,,NAT_TOTAL,20221231,0,,0,,0,,0,,0,,0,,0,,0,0,,0,,,0,,3,0,,0,0,,5,1,0,,2,3,5-15 yrs,5-15 yrs,2,2,2,2,5,0,327860,2794,V,54.22,0,12.5,14.29,0
Central African Republic,CAF,,,NAT_TOTAL,20221231,0,,0,,0,,0,,0,,0,,0,,1,0,,0,,,1,1,3,0,,0,3,1,5,1,0,,2,2,16-19 yrs,16-19 yrs,2,2,2,2,5,0,15351,113,NV,34.68,8.33,21.88,25,0
Canada,CAN,,,NAT_TOTAL,20221231,0,,0,,0,,0,,0,,0,,0,,0,0,,0,,,1,1,1,1,,0,2,0,5,1,2,0,2,3,0-4 yrs,0-4 yrs,2,2,2,2,5,1,4505142,49238,V,82.52,5.56,20.42,23.34,0
Switzerland,CHE,,,NAT_TOTAL,20221231,0,,0,,0,,0,,0,,0,,0,,0,0,,0,,,1,1,2,0,,0,0,,5,1,1,1,2,3,5-15 yrs,5-15 yrs,2,2,2,2,5,0,4399516,14173,NV,0,5.56,15.62,17.86,0
Chile,CHL,,,NAT_TOTAL,20221231,0,,0,,0,,0,,0,,0,,0,,1,0,,0,,,2,1,3,2,,0,2,1,5,1,0,,2,3,0-4 yrs,0-4 yrs,2,2,2,2,5,0,5037527,63172,V,90.27,13.89,29.69,33.93,0
